Date;IGPM;IPCS4;FIPE4;IPCA;IGP10;IPAM;INCCM;IPCA15
2006-12-01;0.32;0.63;1.04;0.48;0.47;0.29;0.30;0.35
2007-01-01;0.50;0.69;0.66;0.44;0.39;0.40;0.45;0.52
2007-02-01;0.27;0.34;0.33;0.44;0.28;0.21;0.26;0.46
2007-03-01;0.34;0.48;0.11;0.37;0.38;0.33;0.17;0.41
2007-04-01;0.04;0.31;0.33;0.25;0.18;-0.14;0.43;0.22
2007-05-01;0.04;0.25;0.36;0.28;0.09;-0.09;0.55;0.26
2007-06-01;0.26;0.42;0.55;0.28;0.15;0.01;1.67;0.29
2007-07-01;0.28;0.28;0.27;0.24;0.22;0.26;0.21;0.24
2007-08-01;0.98;0.42;0.07;0.47;0.64;1.31;0.35;0.42
2007-09-01;1.29;0.23;0.24;0.18;1.47;1.83;0.39;0.29
2007-10-01;1.05;0.13;0.08;0.30;1.07;1.42;0.49;0.24
2007-11-01;0.69;0.27;0.47;0.38;0.71;0.97;0.48;0.23
2007-12-01;1.76;0.70;0.82;0.74;1.59;2.36;0.43;0.70
2008-01-01;1.09;0.97;0.52;0.54;1.02;1.24;0.41;0.70
2008-02-01;0.53;0.00;0.19;0.49;0.80;0.64;0.43;0.64
2008-03-01;0.74;0.45;0.31;0.48;0.61;0.96;0.59;0.23
2008-04-01;0.69;0.72;0.54;0.55;0.45;0.65;0.82;0.59
2008-05-01;1.61;0.87;1.23;0.79;1.52;2.01;1.10;0.56
2008-06-01;1.98;0.77;0.96;0.74;1.96;2.27;2.67;0.90
2008-07-01;1.76;0.53;0.45;0.53;2.00;2.20;1.42;0.63
2008-08-01;-0.32;0.14;0.38;0.28;0.38;-0.74;1.27;0.35
2008-09-01;0.11;-0.09;0.38;0.26;-0.42;0.04;0.95;0.26
2008-10-01;0.98;0.47;0.50;0.45;0.78;1.24;0.85;0.30
2008-11-01;0.38;0.56;0.39;0.36;0.73;0.30;0.65;0.49
2008-12-01;-0.13;0.52;0.16;0.28;0.03;-0.42;0.22;0.29
2009-01-01;-0.44;0.83;0.46;0.48;-0.85;-0.95;0.26;0.40
2009-02-01;0.26;0.21;0.27;0.55;0.54;0.20;0.35;0.63
2009-03-01;-0.74;0.61;0.40;0.20;-0.31;-1.24;-0.17;0.11
2009-04-01;-0.15;0.47;0.31;0.48;-0.71;-0.44;-0.01;0.36
2009-05-01;-0.07;0.39;0.33;0.47;0.17;-0.30;0.25;0.59
2009-06-01;-0.10;0.12;0.13;0.36;-0.03;-0.45;1.53;0.38
2009-07-01;-0.43;0.34;0.33;0.24;-0.35;-0.85;0.37;0.22
2009-08-01;-0.36;0.20;0.48;0.15;-0.60;-0.61;0.01;0.23
2009-09-01;0.42;0.18;0.16;0.24;0.35;0.53;0.07;0.19
2009-10-01;0.05;0.01;0.25;0.28;0.10;0.04;0.13;0.18
2009-11-01;0.10;0.26;0.29;0.41;0.07;0.08;0.18;0.44
2009-12-01;-0.26;0.24;0.18;0.37;-0.07;-0.50;0.20;0.38
2010-01-01;0.63;1.29;1.34;0.75;0.20;0.51;0.52;0.52
2010-02-01;1.18;0.68;0.74;0.78;1.08;1.42;0.35;0.94
2010-03-01;0.94;0.86;0.34;0.52;1.10;1.07;0.45;0.55
2010-04-01;0.77;0.76;0.39;0.57;0.63;0.72;1.17;0.48
2010-05-01;1.19;0.21;0.22;0.43;1.11;1.49;0.93;0.63
2010-06-01;0.85;-0.21;0.04;0.00;1.30;1.09;1.77;0.19
2010-07-01;0.15;-0.21;0.17;0.01;0.05;0.20;0.62;-0.09
2010-08-01;0.77;-0.08;0.17;0.04;0.46;1.24;0.22;-0.05
2010-09-01;1.15;0.46;0.53;0.45;1.12;1.60;0.20;0.31
2010-10-01;1.01;0.59;1.04;0.75;1.15;1.30;0.15;0.62
2010-11-01;1.45;1.00;0.72;0.83;1.16;1.84;0.36;0.86
2010-12-01;0.69;0.72;0.54;0.63;1.27;0.63;0.59;0.69
2011-01-01;0.79;1.27;1.15;0.83;0.49;0.76;0.37;0.76
2011-02-01;1.00;0.49;0.60;0.80;1.03;1.20;0.39;0.97
2011-03-01;0.62;0.71;0.35;0.79;0.84;0.65;0.44;0.60
2011-04-01;0.45;0.95;0.70;0.77;0.56;0.29;0.75;0.77
2011-05-01;0.43;0.51;0.31;0.47;0.55;0.03;2.03;0.70
2011-06-01;-0.18;-0.18;0.01;0.15;-0.22;-0.45;1.43;0.23
2011-07-01;-0.12;-0.04;0.30;0.16;-0.12;-0.22;0.59;0.10
2011-08-01;0.44;0.40;0.39;0.37;0.20;0.57;0.16;0.27
2011-09-01;0.65;0.50;0.25;0.53;0.63;0.74;0.14;0.53
2011-10-01;0.53;0.26;0.39;0.43;0.64;0.68;0.20;0.42
2011-11-01;0.50;0.53;0.60;0.52;0.44;0.52;0.50;0.46
2011-12-01;-0.12;0.79;0.61;0.50;0.19;-0.48;0.35;0.56
2012-01-01;0.25;0.81;0.66;0.56;0.08;-0.07;0.67;0.65
2012-02-01;-0.06;0.24;-0.07;0.45;0.04;-0.26;0.42;0.53
2012-03-01;0.43;0.60;0.15;0.21;0.27;0.42;0.37;0.25
2012-04-01;0.85;0.52;0.47;0.64;0.70;0.97;0.83;0.43
